Timestamp,Open,High,Low,Close,Volume,OI
1674035062,81.8425,81.8425,81.8425,81.8425,163,3172607,
1674035063,81.8425,81.8425,81.8425,81.8425,1,3172607,
1674035064,81.845,81.845,81.845,81.845,5,3172607,
1674035066,81.845,81.845,81.845,81.845,47,3172607,
1674035069,81.8475,81.8475,81.8475,81.8475,11,3172607,
1674035072,81.8425,81.8425,81.8425,81.8425,5,3172607,
1674035074,81.8475,81.8475,81.8475,81.8475,9,3172607,
1674035078,81.845,81.845,81.845,81.845,1,3172607,
1674035080,81.845,81.845,81.845,81.845,154,3172607,
1674035083,81.845,81.845,81.845,81.845,128,3172607,
1674035085,81.8425,81.8425,81.8425,81.8425,11,3172607,
1674035086,81.845,81.845,81.845,81.845,27,3172607,
1674035088,81.8425,81.8425,81.8425,81.8425,773,3172607,
1674035089,81.845,81.845,81.845,81.845,339,3172607,
1674035091,81.8375,81.8375,81.8375,81.8375,710,3172607,
1674035093,81.84,81.84,81.84,81.84,1000,3172607,
1674035094,81.84,81.84,81.84,81.84,22,3172607,
1674035096,81.84,81.84,81.84,81.84,48,3172607,
1674035098,81.8375,81.8375,81.835,81.835,311,3172607,
1674035099,81.835,81.835,81.835,81.835,30,3172607,
1674035102,81.8325,81.8325,81.8325,81.8325,10,3172607,
1674035103,81.835,81.835,81.835,81.835,4,3172607,
1674035105,81.835,81.835,81.835,81.835,325,3172607,
1674035106,81.835,81.835,81.835,81.835,5,3172607,
1674035107,81.8325,81.8325,81.8325,81.8325,121,3172607,
1674035109,81.8325,81.8325,81.8325,81.8325,25,3172607,
1674035112,81.8275,81.83,81.8275,81.83,279,3172607,
1674035117,81.8325,81.8325,81.8325,81.8325,50,3172607,
1674035118,81.8325,81.8325,81.8325,81.8325,11,3172607,
1674035119,81.8325,81.8325,81.8325,81.8325,300,3172607,
1674035120,81.8325,81.8325,81.8325,81.8325,30,3172607,
1674035124,81.83,81.83,81.83,81.83,140,3172607,
1674035125,81.8325,81.8325,81.8325,81.8325,1,3172607,
1674035127,81.8325,81.8325,81.8325,81.8325,175,3172607,
1674035131,81.835,81.835,81.835,81.835,50,3172607,
1674035133,81.8325,81.8325,81.8325,81.8325,5,3172607,
1674035138,81.835,81.835,81.835,81.835,124,3172607,
1674035140,81.8375,81.8425,81.8375,81.8425,245,3172607,
1674035141,81.84,81.84,81.84,81.84,1,3172607,
1674035142,81.84,81.84,81.84,81.84,10,3172607,
1674035146,81.8425,81.8425,81.8425,81.8425,685,3172607,
1674035147,81.8425,81.8425,81.8425,81.8425,315,3172607,
1674035156,81.845,81.845,81.845,81.845,2,3172607,
1674035157,81.845,81.845,81.845,81.845,25,3172607,
1674035158,81.84,81.84,81.84,81.84,500,3172607,
1674035159,81.8375,81.8375,81.8375,81.8375,18,3172607,
1674035161,81.84,81.84,81.84,81.84,18,3172607,
1674035162,81.84,81.84,81.84,81.84,155,3172607,
1674035167,81.835,81.835,81.835,81.835,1,3172607,
1674035170,81.8375,81.8375,81.8375,81.8375,1000,3172607,
1674035173,81.8325,81.8325,81.8325,81.8325,1064,3172607,
1674035175,81.8325,81.8325,81.8325,81.8325,115,3172607,
1674035178,81.8325,81.8325,81.8325,81.8325,16,3172607,
1674035189,81.835,81.835,81.8325,81.8325,17,3172607,
1674035190,81.8325,81.8325,81.8325,81.8325,331,3172607,
1674035195,81.8275,81.8275,81.8275,81.8275,111,3172607,
1674035198,81.8275,81.8275,81.8275,81.8275,99,3172607,
1674035199,81.8275,81.83,81.8275,81.83,1660,3172607,
1674035200,81.8275,81.8275,81.8275,81.8275,181,3172607,
1674035203,81.8275,81.8275,81.8275,81.8275,131,3172607,
1674035205,81.8275,81.8275,81.825,81.825,24,3172607,
1674035208,81.825,81.825,81.825,81.825,13,3172607,
1674035210,81.8275,81.8275,81.8275,81.8275,13,3172607,
1674035211,81.83,81.8325,81.83,81.8325,398,3172607,
1674035212,81.8325,81.8325,81.8325,81.8325,551,3172607,
1674035214,81.8325,81.8325,81.8325,81.8325,87,3172607,
1674035217,81.835,81.835,81.835,81.835,49,3172607,
1674035218,81.835,81.835,81.8325,81.8325,53,3172607,
1674035219,81.8325,81.8325,81.8325,81.8325,1,3172607,
1674035221,81.835,81.835,81.835,81.835,12,3172607,
1674035227,81.835,81.835,81.835,81.835,2,3172607,
1674035228,81.83,81.83,81.83,81.83,782,3172607,
1674035231,81.8275,81.8275,81.8275,81.8275,1,3172607,
1674035232,81.83,81.83,81.83,81.83,20,3172329,
1674035235,81.8275,81.8275,81.8275,81.8275,25,3172329,
1674035236,81.8275,81.8275,81.8275,81.8275,1,3172329,
1674035242,81.8275,81.8275,81.8275,81.8275,71,3172329,
1674035244,81.83,81.83,81.83,81.83,11,3172329,
1674035247,81.83,81.83,81.83,81.83,50,3172329,
1674035250,81.8275,81.83,81.8275,81.83,2,3172329,
1674035251,81.83,81.83,81.83,81.83,37,3172329,
1674035253,81.83,81.83,81.83,81.83,10,3172329,
1674035260,81.83,81.83,81.83,81.83,8,3172329,
1674035262,81.8275,81.83,81.8275,81.83,101,3172329,
1674035267,81.83,81.83,81.83,81.83,81,3172329,
1674035269,81.8225,81.8225,81.82,81.82,254,3172329,
1674035271,81.825,81.825,81.825,81.825,8,3172329,
1674035272,81.825,81.825,81.8225,81.8225,11,3172329,
1674035276,81.82,81.82,81.82,81.82,11,3172329,
1674035280,81.8225,81.8225,81.8225,81.8225,44,3172329,
1674035281,81.825,81.825,81.825,81.825,352,3172329,
1674035282,81.8225,81.8225,81.8225,81.8225,15,3172329,
1674035283,81.8225,81.8225,81.8225,81.8225,3,3172329,
1674035284,81.82,81.82,81.82,81.82,802,3172329,
1674035286,81.8225,81.8225,81.8225,81.8225,810,3172329,
1674035287,81.8225,81.8225,81.8225,81.8225,100,3172329,
1674035288,81.8225,81.8225,81.8225,81.8225,1850,3172329,
1674035289,81.8225,81.8225,81.8225,81.8225,260,3172329,
